sample_alias,sample_accession
14867,SAMN08519627
14886,SAMN08887714
14895,SAMN09606633
14908,SAMN08519743
14909,SAMN08519687
14916,SAMN08519744
14922,SAMN08519665
14924,SAMN08519632
14925,SAMN09742529
14930,SAMN09742530
14943,SAMN09606634
14944,SAMN08519688
14948,SAMN08519689
14951,SAMN08519867
14959,SAMN09710574
14989,SAMN08887679
14994,SAMN08887644
15009,SAMN09710575
15107,SAMN09710576
15112,SAMN08887680
15113,SAMN08887750
15122,SAMN08887763
15149,SAMN09426462
15150,SAMN09710577
15156,SAMN09742531
15157,SAMN08887650
15163,SAMN08519745
15175,SAMN08519638
15178,SAMN08519646
15190,SAMN09710578
15197,SAMN09742532
15204,SAMN08887743
15211,SAMN08887744
15212,SAMN09426463
15225,SAMN08887674
15232,SAMN08519865
15244,SAMN08887681
15267,SAMN08887736
15274,SAMN08887704
15279,SAMN08519690
15286,SAMN08887673
15290,SAMN08887702
15292,SAMN08519837
15308,SAMN08887659
15414,SAMN08887695
15419,SAMN09426464
15421,SAMN09710579
15442,SAMN08887682
15444,SAMN09761229
15444,SAMN12703524
15458,SAMN08887765
15464,SAMN08519838
15467,SAMN09710580
15475,SAMN08519746
15486,SAMN09426465
15494,SAMN08519806
15509,SAMN09426466
15523,SAMN08887734
15545,SAMN08519633
15553,SAMN08887703
15560,SAMN08519691
15562,SAMN08887748
15566,SAMN08519860
15568,SAMN08887683
15571,SAMN08519747
15575,SAMN08519807
15581,SAMN08519748
15599,SAMN08887715
15600,SAMN08887684
15626,SAMN09710581
15628,SAMN09742533
15633,SAMN09742534
15636,SAMN09426467
15652,SAMN08887726
15653,SAMN08887675
15659,SAMN09426468
15664,SAMN09606635
15733,SAMN08519749
15736,SAMN08887685
15820,SAMN08519655
15824,SAMN08887741
15845,SAMN08887745
15846,SAMN08887722
15849,SAMN08887672
15870,SAMN08519750
15874,SAMN08519751
15889,SAMN08519692
15938,SAMN08519693
15940,SAMN08887737
15944,SAMN08887749
15975,SAMN08887751
15979,SAMN08887669
15996,SAMN08887642
16000,SAMN08519667
16006,SAMN08887696
16017,SAMN08519643
16019,SAMN08519863
16056,SAMN08887686
16058,SAMN08519651
16059,SAMN08887653
16065,SAMN08887687
16067,SAMN08887723
16072,SAMN08887664
16083,SAMN09426469
16092,SAMN08887665
16094,SAMN09426470
16101,SAMN08519628
16104,SAMN09426471
16112,SAMN08887640
16115,SAMN08519808
16121,SAMN08887697
16122,SAMN08887705
16243,SAMN08887754
16244,SAMN08887716
16246,SAMN08519634
16254,SAMN08887698
16261,SAMN08887755
16263,SAMN08887717
16288,SAMN08887647
16289,SAMN08519752
16300,SAMN08887688
16304,SAMN08887670
16316,SAMN08887655
16321,SAMN08519753
16329,SAMN08519694
16338,SAMN08519809
16363,SAMN08519652
16369,SAMN09426472
16371,SAMN08519839
16372,SAMN08887759
16383,SAMN08519695
16385,SAMN09426473
16389,SAMN08519754
16391,SAMN09426474
16400,SAMN08519755
16408,SAMN08519756
16409,SAMN08887735
16413,SAMN09761230
16413,SAMN12703525
16417,SAMN08887643
16420,SAMN08887730
16424,SAMN08519757
16436,SAMN08519668
16486,SAMN08887656
16499,SAMN08519758
16507,SAMN08519696
16510,SAMN08887727
16517,SAMN09761231
16524,SAMN09426475
16527,SAMN08519864
16538,SAMN08519759
16548,SAMN08519840
16550,SAMN08887762
16562,SAMN08887706
16569,SAMN08887639
16671,SAMN09426476
16678,SAMN08887699
16692,SAMN08887752
16702,SAMN08887761
16708,SAMN08519760
16719,SAMN08887660
16731,SAMN08887718
16741,SAMN08519841
16743,SAMN08887753
16744,SAMN08887724
16748,SAMN08519625
16761,SAMN08519641
16775,SAMN08887738
16780,SAMN09426477
16787,SAMN08519761
16798,SAMN09426478
16808,SAMN09426479
16815,SAMN08887728
16816,SAMN08887725
16823,SAMN09606636
16827,SAMN08519842
16829,SAMN08519810
16847,SAMN09426480
16853,SAMN09426481
16853,SAMN12703526
16856,SAMN08519697
16861,SAMN09426482
16862,SAMN08887760
16866,SAMN08519698
16873,SAMN09606637
16879,SAMN08519811
16880,SAMN08519699
16889,SAMN08887652
16890,SAMN09426483
16986,SAMN09426484
16999,SAMN09606638
17006,SAMN08887649
17024,SAMN08887641
17111,SAMN08519762
17112,SAMN09426485
17139,SAMN08519812
17141,SAMN08519843
17153,SAMN08887651
17158,SAMN08887689
17159,SAMN09426486
17165,SAMN08519763
17174,SAMN08887646
17184,SAMN09426487
17190,SAMN08519635
17199,SAMN09761232
17222,SAMN09426488
17228,SAMN09606639
17232,SAMN09426489
17233,SAMN08519764
17254,SAMN09426490
17255,SAMN09426491
17268,SAMN08519653
17294,SAMN09426492
17295,SAMN09426493
17325,SAMN08519813
17328,SAMN09606640
17340,SAMN08519765
17776,SAMN08519814
17792,SAMN09426494
17795,SAMN09426495
17806,SAMN09426496
17810,SAMN08519766
17817,SAMN08519629
17826,SAMN08519844
17829,SAMN08519845
17832,SAMN09426497
17833,SAMN08887739
17840,SAMN09426498
17851,SAMN08887648
17852,SAMN09426499
17871,SAMN08519846
17873,SAMN08519700
17879,SAMN08519701
17891,SAMN09426500
17898,SAMN08519815
17903,SAMN08519767
17903,SAMN12703527
17916,SAMN08519702
17929,SAMN09426501
17969,SAMN09426502
17970,SAMN09426503
17971,SAMN08519647
17981,SAMN08519852
17997,SAMN09426504
17998,SAMN09426505
17999,SAMN08887731
18004,SAMN08887690
18015,SAMN08519656
18019,SAMN09426506
18022,SAMN09426507
18024,SAMN08519703
18141,SAMN08519768
18144,SAMN09426508
18168,SAMN09426509
18344,SAMN09426510
18385,SAMN11119510
18395,SAMN08519704
18431,SAMN08887666
18469,SAMN08887746
18523,SAMN09426511
18528,SAMN09426512
18529,SAMN09426513
18586,SAMN09426514
18592,SAMN08519705
18599,SAMN09426515
18672,SAMN08519669
18713,SAMN08887707
18715,SAMN09606641
18778,SAMN09426516
18789,SAMN09426517
18818,SAMN08887740
18840,SAMN09606642
18841,SAMN08887671
18866,SAMN08887747
18892,SAMN08887667
18917,SAMN09426518
18929,SAMN09742535
18929,SAMN12703528
18938,SAMN08519847
18972,SAMN09426519
18974,SAMN09426520
19012,SAMN08887742
19144,SAMN09426521
19154,SAMN08887708
19165,SAMN08519649
19173,SAMN09426522
19181,SAMN09761233
19207,SAMN09742536
19215,SAMN09426523
19237,SAMN09426524
19348,SAMN09761234
19359,SAMN09426525
19365,SAMN09426526
19371,SAMN09426527
19376,SAMN09426528
19378,SAMN09426529
19381,SAMN09426530
19658,SAMN09426531
19674,SAMN09426532
19679,SAMN09426533
19750,SAMN09426534
1X0014,SAMN10524552
1X0026,SAMN10524565
1X0035,SAMN10524554
1X0102,SAMN10524539
1X0110,SAMN10524543
1X0153,SAMN10524555
1X0351,SAMN12703510
1X0354,SAMN18927694
1X0356,SAMN09761235
1X0576,SAMN10524547
1X0580,SAMN10524550
1X0808,SAMN10524563
1X0812,SAMN10524553
1X0830,SAMN12703511
1X0832,SAMN10524560
1X0843,SAMN12703519
1X0951,SAMN10524551
1X1032,SAMN10524559
1X1125,SAMN11119509
1X1126,SAMN10524549
1X1146,SAMN10524562
1X1152,SAMN10524548
1X1181,SAMN11119508
1X1230,SAMN12703520
1X1237,SAMN12703521
1X1392,SAMN12703522
1X1487,SAMN12703506
1X1672,SAMN10524566
1X1693,SAMN12703509
1X1700,SAMN11119507
1X1734,SAMN10524544
1X1765,SAMN09761236
1X1939,SAMN10524567
1X1947,SAMN10524561
1X1958,SAMN12703523
1X1960,SAMN12703529
1X2049,SAMN10524540
1X2054,SAMN12703530
1X2055,SAMN12703531
1X2124,SAMN09761237
1X2208,SAMN10524545
1X2231,SAMN09742537
1X2304,SAMN10524541
1X2664,SAMN18927695
1X2816,SAMN09710582
1X2891,SAMN10524556
1X2892,SAMN12703507
1X3162,SAMN10524558
1X3321,SAMN12703508
1X3576,SAMN10524542
1X3656,SAMN09761238
1X3697,SAMN09710583
1X3796,SAMN09742538
1X3822,SAMN09710584
1X3837,SAMN09710585
1X4080,SAMN12703532
1X4179,SAMN09742539
1X4209,SAMN09742540
1X4384,SAMN10524557
1X4519,SAMN12703533
1X4777,SAMN09710586
1X4811,SAMN10524538
1X4853,SAMN09742541
1_0291,SAMN12703512
1_1979,SAMN10524564
1_3548,SAMN10524546
20117,SAMN09606643
25347,SAMN09742542
25354,SAMN09426535
25355,SAMN09426536
25409,SAMN09426537
25593,SAMN08519816
26101,SAMN08519769
26138,SAMN09606644
26196,SAMN09742543
26196,SAMN12703534
26198,SAMN09426538
26310,SAMN09606645
26316,SAMN09606646
26318,SAMN09606647
26324,SAMN08519770
26355,SAMN09426539
26498,SAMN09426540
26800,SAMN09426541
26980,SAMN09426542
26988,SAMN11119511
27033,SAMN09606648
27036,SAMN09606649
27166,SAMN09606650
27180,SAMN09606651
27181,SAMN09426543
27190,SAMN09426544
27193,SAMN09426545
27199,SAMN09426546
27230,SAMN09606652
27237,SAMN09606653
27267,SAMN08519706
27304,SAMN09606654
27306,SAMN09426547
27351,SAMN09742544
27358,SAMN09426548
27433,SAMN09426549
27472,SAMN09426550
27503,SAMN09426551
27525,SAMN09426552
27592,SAMN09426553
27594,SAMN09426554
27622,SAMN09606655
27643,SAMN09426555
27666,SAMN08519657
27668,SAMN09426556
27686,SAMN09426557
27742,SAMN09426558
27811,SAMN09426559
27814,SAMN09426560
27820,SAMN09426561
27827,SAMN09606656
27841,SAMN09426562
27844,SAMN09426563
27874,SAMN09606657
27885,SAMN09426564
27889,SAMN09426565
27908,SAMN09426566
27985,SAMN09426567
27989,SAMN09426568
27999,SAMN09426569
28003,SAMN08519707
28021,SAMN09606658
28037,SAMN08519817
28074,SAMN09426570
28075,SAMN08519642
28076,SAMN09426571
28102,SAMN09606659
28183,SAMN09426572
28212,SAMN09426573
28246,SAMN11119512
28259,SAMN09426574
28269,SAMN08519644
28274,SAMN08519670
28279,SAMN09742545
28279,SAMN10524536
28281,SAMN09426575
28285,SAMN09606660
28304,SAMN09426576
28328,SAMN09426577
28368,SAMN09606661
28375,SAMN08519658
28376,SAMN09606662
28385,SAMN09606663
28386,SAMN09606664
28396,SAMN08519708
28400,SAMN09426578
28416,SAMN09426579
28417,SAMN09426580
28428,SAMN09606665
28431,SAMN09606666
28436,SAMN09426581
28438,SAMN09426582
28478,SAMN09426583
28495,SAMN09426584
28497,SAMN09606667
28576,SAMN09426585
28591,SAMN09426586
28609,SAMN09606668
28618,SAMN09426587
28635,SAMN09742546
28635,SAMN10524537
28729,SAMN09426588
28740,SAMN09606669
28742,SAMN08519848
28779,SAMN08519818
28799,SAMN09426589
28801,SAMN09426590
28802,SAMN08519709
28806,SAMN08519710
28830,SAMN08519771
28925,SAMN09426591
28949,SAMN08519819
29156,SAMN08519820
29333,SAMN08519772
29368,SAMN09426592
29565,SAMN09606670
29758,SAMN08519821
30008,SAMN08519711
30033,SAMN08519773
30104,SAMN08519866
30320,SAMN08519822
30366,SAMN09606671
30373,SAMN08519712
30424,SAMN08519774
30508,SAMN09606672
30564,SAMN09426593
30609,SAMN09426594
30611,SAMN09426595
30614,SAMN09426596
30636,SAMN09426597
30650,SAMN09426598
30660,SAMN09426599
30662,SAMN09426600
30673,SAMN08519713
30699,SAMN09606673
30749,SAMN08519823
30751,SAMN09426601
30752,SAMN08519824
30772,SAMN08519775
30787,SAMN08519825
30805,SAMN08519776
30871,SAMN08519826
30878,SAMN08519777
30886,SAMN09606674
30889,SAMN08519714
30906,SAMN08519827
30907,SAMN09606675
30917,SAMN08519861
30920,SAMN09606676
30927,SAMN08519650
30933,SAMN09426602
30934,SAMN09606677
30961,SAMN09426603
30973,SAMN09606678
30974,SAMN09606679
31011,SAMN09426604
31015,SAMN09606680
31016,SAMN09426605
