"table_s1_id","sname","known_id"
"AMB_202","RAN","TRUE"
"AMB_362","JAZ","TRUE"
"AMB_339","RAH","TRUE"
"AMB_195","POL","TRUE"
"AMB_240","VIV","TRUE"
"AMB_154","NGG","TRUE"
"AMB_120","LON","TRUE"
"AMB_053","FAC","TRUE"
"AMB_322","DIV","TRUE"
"AMB_360","BWA","TRUE"
"AMB_274","WYN","TRUE"
"AMB_137","MAD","TRUE"
"AMB_331","BOG","TRUE"
"AMB_126","LUN","TRUE"
"AMB_081","INZ","TRUE"
"AMB_382","JOY","TRUE"
"AMB_214","SCI","TRUE"
"AMB_237","VIG","TRUE"
"AMB_328","NA","FALSE"
"AMB_022","CEL","TRUE"
"AMB_082","JAG","TRUE"
"AMB_325","MIM","TRUE"
"AMB_227","UHU","TRUE"
"AMB_055","FAT","TRUE"
"AMB_012","BAG","TRUE"
"AMB_346","MUS","TRUE"
"AMB_123","LOZ","TRUE"
"AMB_074","HNS","TRUE"
"AMB_230","NA","FALSE"
"AMB_239","VIP","TRUE"
"AMB_006","AGG","TRUE"
"AMB_088","KIM","TRUE"
"AMB_124","LUD","TRUE"
"AMB_248","WAB","TRUE"
"AMB_387","MIT","TRUE"
"AMB_247","VUM","TRUE"
"AMB_249","WAC","TRUE"
"AMB_162","NOL","TRUE"
"AMB_212","SAH","TRUE"
"AMB_314","HYM","TRUE"
"AMB_318","WEN","TRUE"
"AMB_316","LIB","TRUE"
"AMB_311","HAP","TRUE"
"AMB_313","CHE","TRUE"
"AMB_310","LIT","TRUE"
"AMB_109","LEM","TRUE"
