study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_md5	fastq_ftp	sample_alias
PRJNA54005	SAMN03165174	SRX1033054	SRR2032788	9555	Papio anubis	a4030371d7a97fd8cf6f14ff823d60d1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/008/SRR2032788/SRR2032788_consensus.fastq.gz	PANU.00-37503
PRJNA54005	SAMN03165174	SRX1033054	SRR2032797	9555	Papio anubis	8df54c5667a6b47f7b7e6ca57c6b8bbd	ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/007/SRR2032797/SRR2032797_consensus.fastq.gz	PANU.00-37503
PRJNA54005	SAMN03165174	SRX1033054	SRR2032801	9555	Papio anubis	537e40d33f4f553b1ed8fa41dbd88fa8	ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/001/SRR2032801/SRR2032801_consensus.fastq.gz	PANU.00-37503
PRJNA54005	SAMN03165174	SRX1033056	SRR2032803	9555	Papio anubis	ff70cb82ff6e590733633d53ad858f36	ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/003/SRR2032803/SRR2032803_consensus.fastq.gz	PANU.00-37503
PRJNA54005	SAMN02199293	SRX319168	SRR927654	9555	Papio anubis	34dc4d580365c950b3bafa14afa2ad83;208a31a77a7614bca75316cb627fe90a	ftp.sra.ebi.ac.uk/vol1/fastq/SRR927/SRR927654/SRR927654_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR927/SRR927654/SRR927654_2.fastq.gz	PANU.RE-female
PRJNA54005	SAMN02199293	SRX319171	SRR927657	9555	Papio anubis	33e6e5c2345c5508f5cffa3bcb04e5da;c27875ebf7c3054a48efdbfbeacc8367	ftp.sra.ebi.ac.uk/vol1/fastq/SRR927/SRR927657/SRR927657_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR927/SRR927657/SRR927657_2.fastq.gz	PANU.RE-female
PRJNA54005	SAMN02199293	SRX319172	SRR927658	9555	Papio anubis	b6ee786ac2fe6ed18da7260117d10339;7878f0c1ae5bc86534a5c3cc840e0b44	ftp.sra.ebi.ac.uk/vol1/fastq/SRR927/SRR927658/SRR927658_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR927/SRR927658/SRR927658_2.fastq.gz	PANU.RE-female
PRJNA54005	SAMN02866410	SRX652764	SRR1515159	9555	Papio anubis	0e1de5858de7ffaeada1487c491dee99;85974ec4615957b2f2423eb8f95749c2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/009/SRR1515159/SRR1515159_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/009/SRR1515159/SRR1515159_2.fastq.gz	PANU.00-L142
PRJNA54005	SAMN02866411	SRX653786	SRR1516196	9555	Papio anubis	f0a0bdc1cf8730ed91fe9313c0cda988;5b162ec942d48b92965b6007e7a3a3e5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/006/SRR1516196/SRR1516196_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/006/SRR1516196/SRR1516196_2.fastq.gz	PANU.00-LIV5
PRJNA54005	SAMN02866411	SRX653787	SRR1516198	9555	Papio anubis	b7178e43eb5f4bdbf1ad0900e2dc02a8;9a00c62e37e804267ad3a550e1fb4759	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/008/SRR1516198/SRR1516198_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/008/SRR1516198/SRR1516198_2.fastq.gz	PANU.00-LIV5
