id,population,known_ida,sexb,hybrid_statusc,genome_wide_anubis_ancestryd,nodup_mapq10_coveraged,percent_reads_mappedd,BioProject_WGSEQ,Paper_WGSEQ,Accession_WGSEQ,Paper_RNASEQ_1 (Tung_et_al_2015_eLIFE; PRJNA269070),Paper_RNASEQ_2 (Lea_et_al_2018_PNAS; PRJNA480672),Paper_RNASEQ_3 (Anderson_et_al_bioRxiv; PRJNA731520)
AMB_190,Amboseli,TRUE,M,historical,0.329,0.907,98.34,PRJNA755322,this_study,SAMN20815108,NA,NA,NA
AMB_191,Amboseli,TRUE,M,recent,0.356,1.053,99.26,PRJNA755322,this_study,SAMN20815081,SRR1688520,NA,NA
AMB_192,Amboseli,TRUE,M,historical,0.286,1.461,98.21,PRJNA755322,this_study,SAMN20815276,NA,NA,NA
AMB_193,Amboseli,TRUE,F,recent,0.483,1.080,99.30,PRJNA755322,this_study,SAMN20814958,NA,NA,NA
AMB_194,Amboseli,TRUE,F,recent,0.397,0.904,99.28,PRJNA755322,this_study,SAMN20815041,NA,NA,NA
AMB_195,Amboseli,TRUE,M,historical,0.284,1.225,99.31,PRJNA755322,this_study,SAMN20815286,NA,NA,NA
AMB_196,Amboseli,TRUE,M,historical,0.300,0.809,99.30,PRJNA755322,this_study,SAMN20815204,NA,NA,NA
AMB_197,Amboseli,TRUE,F,historical,0.317,1.041,99.24,PRJNA755322,this_study,SAMN20815135,NA,NA,NA
AMB_198,Amboseli,TRUE,F,historical,0.323,1.225,99.19,PRJNA755322,this_study,SAMN20815120,NA,NA,NA
AMB_199,Amboseli,TRUE,M,recent,0.539,0.905,99.27,PRJNA755322,this_study,SAMN20814931,SRR1688504,NA,NA
AMB_200,Amboseli,TRUE,M,historical,0.292,1.078,99.18,PRJNA755322,this_study,SAMN20815250,NA,NA,NA
AMB_201,Amboseli,TRUE,M,recent,0.606,1.209,99.23,PRJNA755322,this_study,SAMN20814916,NA,NA,NA
AMB_202,Amboseli,TRUE,F,historical,0.285,1.369,99.29,PRJNA755322,this_study,SAMN20815283,NA,SRR7510398,NA
AMB_203,Amboseli,FALSE,NA,unassigned,0.496,1.154,99.03,PRJNA755322,this_study,SAMN20814951,NA,SRR7510396,NA
AMB_204,Amboseli,TRUE,F,historical,0.290,1.041,99.30,PRJNA755322,this_study,SAMN20815260,NA,NA,SRR14608225
AMB_205,Amboseli,TRUE,F,recent,0.482,1.339,99.30,PRJNA755322,this_study,SAMN20814960,NA,SRR7510394,NA
AMB_206,Amboseli,TRUE,M,recent,0.339,1.294,99.28,PRJNA755322,this_study,SAMN20815097,NA,SRR7510402,NA
AMB_207,Amboseli,TRUE,M,recent,0.427,1.113,99.23,PRJNA755322,this_study,SAMN20815023,SRR1688483,NA,NA
AMB_208,Amboseli,TRUE,M,historical,0.304,0.946,99.32,PRJNA755322,this_study,SAMN20815175,NA,NA,NA
AMB_209,Amboseli,TRUE,F,historical,0.306,1.240,99.19,PRJNA755322,this_study,SAMN20815160,NA,NA,NA
AMB_210,Amboseli,TRUE,F,historical,0.336,1.052,99.25,PRJNA755322,this_study,SAMN20815103,NA,NA,NA
AMB_211,Amboseli,TRUE,F,historical,0.298,0.688,99.23,PRJNA755322,this_study,SAMN20815217,NA,NA,NA
AMB_212,Amboseli,TRUE,M,historical,0.261,1.144,99.28,PRJNA755322,this_study,SAMN20815321,NA,SRR7510444,NA
AMB_213,Amboseli,TRUE,F,historical,0.297,0.790,99.32,PRJNA755322,this_study,SAMN20815226,SRR1688488,NA,NA
AMB_214,Amboseli,TRUE,F,historical,0.279,1.157,99.27,PRJNA755322,this_study,SAMN20815299,NA,NA,NA
AMB_215,Amboseli,TRUE,M,recent,0.555,1.390,99.23,PRJNA755322,this_study,SAMN20814924,SRR1688533,NA,NA
AMB_216,Amboseli,TRUE,M,historical,0.304,0.730,99.25,PRJNA755322,this_study,SAMN20815177,NA,NA,NA
AMB_217,Amboseli,TRUE,F,recent,0.531,0.939,99.28,PRJNA755322,this_study,SAMN20814935,NA,NA,NA
AMB_218,Amboseli,TRUE,M,recent,0.434,1.109,99.21,PRJNA755322,this_study,SAMN20815015,NA,NA,SRR14608221
AMB_219,Amboseli,TRUE,M,unassigned,0.368,1.067,99.26,PRJNA755322,this_study,SAMN20815071,NA,NA,NA
AMB_220,Amboseli,TRUE,F,recent,0.326,1.577,99.24,PRJNA755322,this_study,SAMN20815112,NA,SRR7510472,SRR14608218
AMB_221,Amboseli,TRUE,M,recent,0.469,1.049,99.26,PRJNA755322,this_study,SAMN20814979,NA,SRR7510413,NA
AMB_222,Amboseli,TRUE,M,unassigned,0.352,0.920,99.23,PRJNA755322,this_study,SAMN20815083,SRR1688482,NA,NA
AMB_223,Amboseli,TRUE,M,recent,0.517,1.276,99.25,PRJNA755322,this_study,SAMN20814943,SRR1688511,NA,NA
AMB_224,Amboseli,TRUE,M,recent,0.361,1.210,99.24,PRJNA755322,this_study,SAMN20815075,NA,SRR7510435,NA
AMB_225,Amboseli,TRUE,M,historical,0.330,1.118,99.06,PRJNA755322,this_study,SAMN20815107,NA,NA,NA
AMB_226,Amboseli,TRUE,M,historical,0.291,1.145,99.29,PRJNA755322,this_study,SAMN20815256,NA,NA,NA
AMB_227,Amboseli,TRUE,M,historical,0.276,0.831,98.03,PRJNA755322,this_study,SAMN20815305,NA,NA,NA
AMB_228,Amboseli,TRUE,M,recent,0.549,1.732,98.95,PRJNA755322,this_study,SAMN20814926,NA,SRR7510429,NA
AMB_229,Amboseli,TRUE,M,recent,0.360,1.036,99.30,PRJNA755322,this_study,SAMN20815077,NA,NA,NA
AMB_230,Amboseli,FALSE,NA,unassigned,0.275,1.280,98.84,PRJNA755322,this_study,SAMN20815311,NA,NA,NA
AMB_231,Amboseli,TRUE,M,recent,0.517,1.173,99.31,PRJNA755322,this_study,SAMN20814944,NA,NA,NA
AMB_232,Amboseli,TRUE,M,historical,0.308,0.966,99.21,PRJNA755322,this_study,SAMN20815153,SRR1688505,NA,NA
