id,population,known_ida,sexb,hybrid_statusc,genome_wide_anubis_ancestryd,nodup_mapq10_coveraged,percent_reads_mappedd,BioProject_WGSEQ,Paper_WGSEQ,Accession_WGSEQ,Paper_RNASEQ_1 (Tung_et_al_2015_eLIFE; PRJNA269070),Paper_RNASEQ_2 (Lea_et_al_2018_PNAS; PRJNA480672),Paper_RNASEQ_3 (Anderson_et_al_bioRxiv; PRJNA731520)
AMB_137,Amboseli,TRUE,F,historical,0.281,1.147,99.31,PRJNA755322,this_study,SAMN20815294,SRR1688494,NA,NA
AMB_138,Amboseli,TRUE,M,recent,0.509,1.070,99.27,PRJNA755322,this_study,SAMN20814948,NA,NA,NA
AMB_139,Amboseli,TRUE,F,recent,0.430,0.831,99.30,PRJNA755322,this_study,SAMN20815020,NA,NA,NA
AMB_140,Amboseli,TRUE,M,historical,0.300,0.769,91.82,PRJNA755322,this_study,SAMN20815202,NA,NA,NA
AMB_141,Amboseli,TRUE,F,historical,0.296,0.926,99.21,PRJNA755322,this_study,SAMN20815233,NA,NA,NA
AMB_142,Amboseli,TRUE,M,historical,0.287,1.058,99.25,PRJNA755322,this_study,SAMN20815273,NA,NA,NA
AMB_143,Amboseli,TRUE,F,historical,0.319,0.987,99.27,PRJNA755322,this_study,SAMN20815129,SRR1688498,NA,NA
AMB_144,Amboseli,TRUE,F,historical,0.348,1.086,99.31,PRJNA755322,this_study,SAMN20815086,NA,NA,NA
AMB_145,Amboseli,TRUE,M,recent,0.476,0.997,99.15,PRJNA755322,this_study,SAMN20814967,NA,NA,NA
AMB_146,Amboseli,TRUE,M,historical,0.291,0.830,99.24,PRJNA755322,this_study,SAMN20815258,NA,NA,NA
AMB_147,Amboseli,TRUE,F,recent,0.453,1.169,99.29,PRJNA755322,this_study,SAMN20814988,NA,SRR7510387,NA
AMB_148,Amboseli,TRUE,F,historical,0.296,0.893,99.29,PRJNA755322,this_study,SAMN20815234,NA,NA,NA
AMB_149,Amboseli,TRUE,M,recent,0.457,1.023,99.22,PRJNA755322,this_study,SAMN20814984,NA,SRR7510389,NA
AMB_150,Amboseli,TRUE,M,unassigned,0.381,1.294,99.30,PRJNA755322,this_study,SAMN20815058,NA,NA,NA
AMB_151,Amboseli,TRUE,M,historical,0.287,1.248,99.27,PRJNA755322,this_study,SAMN20815274,NA,NA,NA
AMB_152,Amboseli,FALSE,NA,unassigned,0.372,1.092,99.24,PRJNA755322,this_study,SAMN20815066,NA,SRR7510383,NA
AMB_153,Amboseli,TRUE,M,recent,0.458,1.473,99.27,PRJNA755322,this_study,SAMN20814982,SRR1688479,NA,NA
AMB_154,Amboseli,TRUE,M,historical,0.283,1.335,99.31,PRJNA755322,this_study,SAMN20815288,NA,NA,NA
AMB_155,Amboseli,TRUE,F,historical,0.323,0.968,94.25,PRJNA755322,this_study,SAMN20815118,NA,NA,NA
AMB_156,Amboseli,TRUE,F,historical,0.289,1.109,99.27,PRJNA755322,this_study,SAMN20815264,NA,NA,NA
AMB_157,Amboseli,TRUE,M,recent,0.435,0.941,99.26,PRJNA755322,this_study,SAMN20815012,NA,NA,NA
AMB_158,Amboseli,TRUE,F,historical,0.304,1.338,98.29,PRJNA755322,this_study,SAMN20815176,NA,NA,NA
AMB_159,Amboseli,TRUE,M,historical,0.302,1.142,99.31,PRJNA755322,this_study,SAMN20815187,SRR1688530,NA,NA
AMB_160,Amboseli,TRUE,F,historical,0.320,1.170,99.04,PRJNA755322,this_study,SAMN20815126,NA,NA,NA
AMB_161,Amboseli,TRUE,M,historical,0.303,0.900,99.17,PRJNA755322,this_study,SAMN20815184,SRR1688500,NA,NA
AMB_162,Amboseli,TRUE,M,historical,0.262,0.916,99.29,PRJNA755322,this_study,SAMN20815320,NA,NA,NA
AMB_163,Amboseli,TRUE,F,recent,0.452,1.232,99.23,PRJNA755322,this_study,SAMN20814991,NA,NA,NA
AMB_164,Amboseli,TRUE,M,recent,0.462,1.065,99.29,PRJNA755322,this_study,SAMN20814981,NA,NA,NA
AMB_165,Amboseli,TRUE,F,historical,0.320,1.282,99.27,PRJNA755322,this_study,SAMN20815124,NA,NA,SRR14608236
AMB_166,Amboseli,TRUE,M,historical,0.298,1.137,99.11,PRJNA755322,this_study,SAMN20815213,NA,NA,NA
AMB_167,Amboseli,TRUE,M,recent,0.441,0.953,99.23,PRJNA755322,this_study,SAMN20815007,SRR1688521,NA,NA
AMB_168,Amboseli,TRUE,M,historical,0.289,0.850,99.21,PRJNA755322,this_study,SAMN20815266,NA,NA,NA
AMB_169,Amboseli,TRUE,M,recent,0.458,1.092,99.20,PRJNA755322,this_study,SAMN20814983,NA,NA,NA
AMB_170,Amboseli,TRUE,F,historical,0.313,0.944,99.19,PRJNA755322,this_study,SAMN20815145,NA,NA,NA
AMB_171,Amboseli,TRUE,F,historical,0.295,1.090,99.20,PRJNA755322,this_study,SAMN20815238,NA,NA,NA
AMB_172,Amboseli,TRUE,F,recent,0.448,1.072,99.30,PRJNA755322,this_study,SAMN20814998,NA,SRR7510391,NA
AMB_173,Amboseli,TRUE,M,historical,0.321,0.910,99.17,PRJNA755322,this_study,SAMN20815122,NA,NA,NA
AMB_174,Amboseli,TRUE,F,recent,0.300,0.799,99.15,PRJNA755322,this_study,SAMN20815203,NA,NA,NA
AMB_175,Amboseli,TRUE,M,recent,0.322,0.908,99.24,PRJNA755322,this_study,SAMN20815121,NA,SRR7510400,SRR14608232
AMB_176,Amboseli,TRUE,M,recent,0.348,1.157,99.27,PRJNA755322,this_study,SAMN20815087,SRR1688492,NA,NA
AMB_177,Amboseli,TRUE,F,recent,0.306,1.023,99.18,PRJNA755322,this_study,SAMN20815163,NA,NA,NA
AMB_178,Amboseli,TRUE,M,recent,0.286,1.245,99.32,PRJNA755322,this_study,SAMN20815278,SRR1688487,NA,NA
AMB_179,Amboseli,TRUE,F,recent,0.294,0.976,99.31,PRJNA755322,this_study,SAMN20815244,NA,NA,NA
AMB_180,Amboseli,TRUE,M,recent,0.431,0.873,99.26,PRJNA755322,this_study,SAMN20815018,NA,NA,NA
AMB_181,Amboseli,TRUE,F,recent,0.305,0.959,99.28,PRJNA755322,this_study,SAMN20815167,NA,NA,NA
AMB_182,Amboseli,TRUE,F,recent,0.451,0.735,99.20,PRJNA755322,this_study,SAMN20814992,SRR1688490,NA,NA
AMB_183,Amboseli,TRUE,F,recent,0.307,0.738,99.29,PRJNA755322,this_study,SAMN20815156,NA,NA,NA
AMB_184,Amboseli,TRUE,M,historical,0.325,0.792,99.10,PRJNA755322,this_study,SAMN20815114,SRR1688489,NA,NA
AMB_185,Amboseli,TRUE,F,recent,0.434,0.974,99.35,PRJNA755322,this_study,SAMN20815014,NA,NA,NA
AMB_186,Amboseli,TRUE,F,unassigned,0.367,0.838,99.26,PRJNA755322,this_study,SAMN20815073,NA,NA,NA
AMB_187,Amboseli,TRUE,M,historical,0.337,1.255,99.12,PRJNA755322,this_study,SAMN20815100,NA,NA,NA
AMB_188,Amboseli,TRUE,F,historical,0.338,0.921,98.76,PRJNA755322,this_study,SAMN20815098,NA,NA,NA
AMB_189,Amboseli,TRUE,M,historical,0.296,1.090,99.27,PRJNA755322,this_study,SAMN20815235,NA,NA,NA
