study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_md5	fastq_ftp	sample_alias
PRJNA308870	SAMN04452800	SRX1564981	SRR3151902	9556	Papio cynocephalus	854b52ac558e93f6aded3d7a53ac7cd0;123dacb3ebae249c969f2b53625f24c0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/002/SRR3151902/SRR3151902_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/002/SRR3151902/SRR3151902_2.fastq.gz	Sample_60636
PRJNA308870	SAMN04452811	SRX1564992	SRR3151913	9556	Papio cynocephalus	1ccd0f7a2ee4b80803f9a03e68b29f99;87d0bcdafbab7f43fae6f1f83764dc56	ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/003/SRR3151913/SRR3151913_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/003/SRR3151913/SRR3151913_2.fastq.gz	Sample_61005
PRJNA308870	SAMN04452801	SRX1564982	SRR3151903	9556	Papio cynocephalus	5a1e5260ea30ad63340a0c469edd68b9;ed658fe391f7130aacb0030bb3346ba9	ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/003/SRR3151903/SRR3151903_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/003/SRR3151903/SRR3151903_2.fastq.gz	Sample_60811
PRJNA308870	SAMN04452813	SRX1564994	SRR3151915	9556	Papio cynocephalus	24f861136b18a3254c4f319db27ed574;81acbf6103cf4270103d7736dc64a4b0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/005/SRR3151915/SRR3151915_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/005/SRR3151915/SRR3151915_2.fastq.gz	Sample_90122
PRJNA308870	SAMN04452802	SRX1564983	SRR3151904	9556	Papio cynocephalus	64f575ceaca0628bb1a33e832afc741a;f1e1f5bd5c4f36efc81cb5fadb794960	ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/004/SRR3151904/SRR3151904_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/004/SRR3151904/SRR3151904_2.fastq.gz	Sample_60820
PRJNA308870	SAMN04452817	SRX1564998	SRR3151919	9556	Papio cynocephalus	d62a92fcf7ba1a9d67a9a4685ae8344f;7c317f599561d7b1ba67b35b2b409d20	ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/009/SRR3151919/SRR3151919_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/009/SRR3151919/SRR3151919_2.fastq.gz	Sample_90252
PRJNA308870	SAMN04452803	SRX1564984	SRR3151905	9556	Papio cynocephalus	cb47a806181999a0ae30215dc318bf1a;a973497479807e9d046f04a2be5c979d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/005/SRR3151905/SRR3151905_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/005/SRR3151905/SRR3151905_2.fastq.gz	Sample_60898
PRJNA308870	SAMN04452819	SRX1565000	SRR3151921	9556	Papio cynocephalus	b6f2d56ebfab9fcc9c54be86be3a3228;bb110c636c3898eb512566e7b679d0a8	ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/001/SRR3151921/SRR3151921_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/001/SRR3151921/SRR3151921_2.fastq.gz	Sample_90456
PRJNA308870	SAMN04452808	SRX1564989	SRR3151910	9556	Papio cynocephalus	988c1390498a6d1b59677023bacc6c31;130dd0cf13b790020d4a303e2961ae7e	ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/000/SRR3151910/SRR3151910_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/000/SRR3151910/SRR3151910_2.fastq.gz	Sample_60960
PRJNA308870	SAMN04452822	SRX1565003	SRR3151924	9556	Papio cynocephalus	0feb41df531480d4004a2cdb0839c7e4;0bc94a590334e8c5828fae8561af213a	ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/004/SRR3151924/SRR3151924_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/004/SRR3151924/SRR3151924_2.fastq.gz	Sample_90461
PRJNA308870	SAMN04452814	SRX1564995	SRR3151916	9556	Papio cynocephalus	35e179462da77c4a3cf9e9e55a7c020c;ba1e9fea5877ac921207e8b95c3ccb6d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/006/SRR3151916/SRR3151916_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/006/SRR3151916/SRR3151916_2.fastq.gz	Sample_90128
PRJNA308870	SAMN04452818	SRX1564999	SRR3151920	9556	Papio cynocephalus	7cb36aad51e0b8053c1496fe081b9c2b;a7ee9df15d2a0765a3a505e6348f354b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/000/SRR3151920/SRR3151920_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/000/SRR3151920/SRR3151920_2.fastq.gz	Sample_90256
PRJNA308870	SAMN04452821	SRX1565002	SRR3151923	9556	Papio cynocephalus	eb1392477a2a060e967cbf2d9cace851;759f0729a98d0932343258712d8f8aad	ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/003/SRR3151923/SRR3151923_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/003/SRR3151923/SRR3151923_2.fastq.gz	Sample_90460
PRJNA308870	SAMN04452823	SRX1565004	SRR3151925	9556	Papio cynocephalus	fec36f825a7fa3174929038b47950fe1;ed9bc71393ee4c5b3107e929b55f2fd3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/005/SRR3151925/SRR3151925_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/005/SRR3151925/SRR3151925_2.fastq.gz	Sample_90462
PRJNA308870	SAMN04452824	SRX1565005	SRR3151926	9556	Papio cynocephalus	f3caeec5970ecba1e2bf6f879be3902a;19f0d69e98b8cc950f1a892b1fdd2167	ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/006/SRR3151926/SRR3151926_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/006/SRR3151926/SRR3151926_2.fastq.gz	Sample_90463
PRJNA308870	SAMN04452825	SRX1565006	SRR3151927	9556	Papio cynocephalus	b4993b7ef04943ccb237341bfdcb2240;bc0ded486d5fcbfff3a8c0e53edc6fdb	ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/007/SRR3151927/SRR3151927_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/007/SRR3151927/SRR3151927_2.fastq.gz	Sample_90464
PRJNA308870	SAMN04452826	SRX1565007	SRR3151928	9556	Papio cynocephalus	634b7d1acce0019f1ab3622e676d972f;c38a362c13f76ea89dc1f7e72d355cf5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/008/SRR3151928/SRR3151928_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/008/SRR3151928/SRR3151928_2.fastq.gz	Sample_90465
PRJNA308870	SAMN04452828	SRX1565009	SRR3151930	9556	Papio cynocephalus	93187361d6d7fb0cc8e08ecfbd8d3ca6;774e1a1ebf477414d29d5f702e9fcdc3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/000/SRR3151930/SRR3151930_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/000/SRR3151930/SRR3151930_2.fastq.gz	Sample_90472
PRJNA308870	SAMN04452830	SRX1565011	SRR3151932	9556	Papio cynocephalus	59fd71a95465f210536df8ada9b44462;0b0bf4bd99740e6fe20fcfd3fcb85c96	ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/002/SRR3151932/SRR3151932_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/002/SRR3151932/SRR3151932_2.fastq.gz	Sample_90477
