sname,gDNA_coverage,n,endogenous_percentage,imputed
WYN,1.222,1,0.56,TRUE
WYN,1.222,1,3.15,TRUE
YAB,1.048,1,NA,NA
YAI,1.173,1,NA,NA
YAP,22.475,1,NA,NA
YAR,1.042,1,NA,NA
YAY,0.819,1,NA,NA
YED,0.987,1,NA,NA
YEL,0.962,1,NA,NA
YEN,1.189,1,NA,NA
YOG,8.645,2,NA,NA
YOK,1.338,1,1.48,FALSE
YUG,9.042,2,NA,NA
YUL,20.496,1,NA,NA
ZAM,1.212,1,NA,NA
ZID,0.814,1,NA,NA
ZIM,1.241,1,NA,TRUE
ZIZ,0.983,1,NA,NA
ZUR,1.58,1,0.71,FALSE
