study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	sample_alias
PRJNA755322	SAMN20814904	SRX11910903	SRR15613834	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/034/SRR15613834/SRR15613834_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/034/SRR15613834/SRR15613834_2.fastq.gz	MIK_012
PRJNA755322	SAMN20815242	SRX11910964	SRR15613773	208510	Papio cynocephalus x Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/073/SRR15613773/SRR15613773_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/073/SRR15613773/SRR15613773_2.fastq.gz	AMB_379
PRJNA755322	SAMN20815270	SRX11910963	SRR15613774	208510	Papio cynocephalus x Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/074/SRR15613774/SRR15613774_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/074/SRR15613774/SRR15613774_2.fastq.gz	AMB_378
PRJNA755322	SAMN20814902	SRX11910901	SRR15613836	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/036/SRR15613836/SRR15613836_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/036/SRR15613836/SRR15613836_2.fastq.gz	MIK_010
PRJNA755322	SAMN20814995	SRX11910960	SRR15613777	208510	Papio cynocephalus x Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/077/SRR15613777/SRR15613777_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/077/SRR15613777/SRR15613777_2.fastq.gz	AMB_375
PRJNA755322	SAMN20814901	SRX11910900	SRR15613837	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/037/SRR15613837/SRR15613837_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/037/SRR15613837/SRR15613837_2.fastq.gz	MIK_009
PRJNA755322	SAMN20815128	SRX11910954	SRR15613783	208510	Papio cynocephalus x Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/083/SRR15613783/SRR15613783_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/083/SRR15613783/SRR15613783_2.fastq.gz	AMB_370
PRJNA755322	SAMN20814898	SRX11910897	SRR15613840	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/040/SRR15613840/SRR15613840_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/040/SRR15613840/SRR15613840_2.fastq.gz	MIK_005
PRJNA755322	SAMN20815229	SRX11910949	SRR15613788	208510	Papio cynocephalus x Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/088/SRR15613788/SRR15613788_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/088/SRR15613788/SRR15613788_2.fastq.gz	AMB_365
PRJNA755322	SAMN20815261	SRX11910947	SRR15613790	208510	Papio cynocephalus x Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/090/SRR15613790/SRR15613790_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/090/SRR15613790/SRR15613790_2.fastq.gz	AMB_363
PRJNA755322	SAMN20815131	SRX11910895	SRR15613842	208510	Papio cynocephalus x Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/042/SRR15613842/SRR15613842_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/042/SRR15613842/SRR15613842_2.fastq.gz	AMB_442
PRJNA755322	SAMN20815284	SRX11910946	SRR15613791	208510	Papio cynocephalus x Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/091/SRR15613791/SRR15613791_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/091/SRR15613791/SRR15613791_2.fastq.gz	AMB_362
PRJNA755322	SAMN20815292	SRX11910943	SRR15613794	208510	Papio cynocephalus x Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/094/SRR15613794/SRR15613794_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/094/SRR15613794/SRR15613794_2.fastq.gz	AMB_360
PRJNA755322	SAMN20815304	SRX11910894	SRR15613843	208510	Papio cynocephalus x Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/043/SRR15613843/SRR15613843_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/043/SRR15613843/SRR15613843_2.fastq.gz	AMB_325
PRJNA755322	SAMN20815028	SRX11910941	SRR15613796	208510	Papio cynocephalus x Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/096/SRR15613796/SRR15613796_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/096/SRR15613796/SRR15613796_2.fastq.gz	AMB_358
PRJNA755322	SAMN20815162	SRX11910893	SRR15613844	208510	Papio cynocephalus x Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/044/SRR15613844/SRR15613844_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/044/SRR15613844/SRR15613844_2.fastq.gz	AMB_441
