study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	sample_alias
PRJEB59576	SAMEA14464561	ERX10409928	ERR10972805	1547595	Sapajus apella macrocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/005/ERR10972805/ERR10972805_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/005/ERR10972805/ERR10972805_2.fastq.gz	PD_0382
PRJEB59576	SAMEA112482860	ERX10381231	ERR10941922	9565	Theropithecus gelada	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/022/ERR10941922/ERR10941922_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/022/ERR10941922/ERR10941922_2.fastq.gz	PD_0067
PRJEB59576	SAMEA14464561	ERX10409929	ERR10972806	1547595	Sapajus apella macrocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/006/ERR10972806/ERR10972806_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/006/ERR10972806/ERR10972806_2.fastq.gz	PD_0382
PRJEB59576	SAMEA112482860	ERX10381232	ERR10941923	9565	Theropithecus gelada	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/023/ERR10941923/ERR10941923_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/023/ERR10941923/ERR10941923_2.fastq.gz	PD_0067
PRJEB59576	SAMEA14464561	ERX10409931	ERR10972808	1547595	Sapajus apella macrocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/008/ERR10972808/ERR10972808_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/008/ERR10972808/ERR10972808_2.fastq.gz	PD_0382
PRJEB59576	SAMEA112482860	ERX10381234	ERR10941925	9565	Theropithecus gelada	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/025/ERR10941925/ERR10941925_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/025/ERR10941925/ERR10941925_2.fastq.gz	PD_0067
PRJEB59576	SAMEA14464561	ERX10409935	ERR10972812	1547595	Sapajus apella macrocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/012/ERR10972812/ERR10972812_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/012/ERR10972812/ERR10972812_2.fastq.gz	PD_0382
PRJEB59576	SAMEA14464562	ERX10409936	ERR10972813	1547595	Sapajus apella macrocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/013/ERR10972813/ERR10972813_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/013/ERR10972813/ERR10972813_2.fastq.gz	PD_0383
PRJEB59576	SAMEA112482860	ERX10381235	ERR10941926	9565	Theropithecus gelada	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/026/ERR10941926/ERR10941926_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/026/ERR10941926/ERR10941926_2.fastq.gz	PD_0067
PRJEB59576	SAMEA112482860	ERX10381236	ERR10941927	9565	Theropithecus gelada	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/027/ERR10941927/ERR10941927_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/027/ERR10941927/ERR10941927_2.fastq.gz	PD_0067
