study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	sample_alias
PRJNA295782	SAMN04096032	SRX1307908	SRR2565912	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/002/SRR2565912/SRR2565912_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/002/SRR2565912/SRR2565912_2.fastq.gz	LIT_gDNA
PRJNA295782	SAMN04099737	SRX1307912	SRR2565916	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/006/SRR2565916/SRR2565916.fastq.gz	AMB_054
PRJNA295782	SAMN04099739	SRX1307914	SRR2565918	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/008/SRR2565918/SRR2565918.fastq.gz	AMB_056
PRJNA295782	SAMN04096032	SRX1307908	SRR2650000	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/000/SRR2650000/SRR2650000_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/000/SRR2650000/SRR2650000_2.fastq.gz	LIT_gDNA
PRJNA295782	SAMN04096032	SRX1307908	SRR2650075	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/005/SRR2650075/SRR2650075_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR265/005/SRR2650075/SRR2650075_2.fastq.gz	LIT_gDNA
PRJNA295782	SAMN04095975	SRX1307851	SRR2565855	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/005/SRR2565855/SRR2565855.fastq.gz	AMB_005
PRJNA295782	SAMN04095987	SRX1307863	SRR2565867	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/007/SRR2565867/SRR2565867.fastq.gz	AMB_017
PRJNA295782	SAMN04095989	SRX1307865	SRR2565869	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/009/SRR2565869/SRR2565869.fastq.gz	AMB_019
PRJNA295782	SAMN04095990	SRX1307866	SRR2565870	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/000/SRR2565870/SRR2565870.fastq.gz	AMB_020
PRJNA295782	SAMN04095991	SRX1307867	SRR2565871	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/001/SRR2565871/SRR2565871.fastq.gz	AMB_021
PRJNA295782	SAMN04095998	SRX1307874	SRR2565878	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/008/SRR2565878/SRR2565878_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/008/SRR2565878/SRR2565878_2.fastq.gz	AMB_028
PRJNA295782	SAMN04096002	SRX1307878	SRR2565882	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/002/SRR2565882/SRR2565882_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/002/SRR2565882/SRR2565882_2.fastq.gz	AMB_032
PRJNA295782	SAMN04096003	SRX1307879	SRR2565883	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/003/SRR2565883/SRR2565883_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/003/SRR2565883/SRR2565883_2.fastq.gz	AMB_033
PRJNA295782	SAMN04096004	SRX1307880	SRR2565884	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/004/SRR2565884/SRR2565884_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/004/SRR2565884/SRR2565884_2.fastq.gz	AMB_034
PRJNA295782	SAMN04096012	SRX1307888	SRR2565892	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/002/SRR2565892/SRR2565892_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/002/SRR2565892/SRR2565892_2.fastq.gz	AMB_042
PRJNA295782	SAMN04096015	SRX1307891	SRR2565895	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/005/SRR2565895/SRR2565895_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/005/SRR2565895/SRR2565895_2.fastq.gz	AMB_045
PRJNA295782	SAMN04096020	SRX1307896	SRR2565900	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/000/SRR2565900/SRR2565900_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/000/SRR2565900/SRR2565900_2.fastq.gz	AMB_050
PRJNA295782	SAMN04096021	SRX1307897	SRR2565901	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/001/SRR2565901/SRR2565901_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/001/SRR2565901/SRR2565901_2.fastq.gz	AMB_051
PRJNA295782	SAMN04096028	SRX1307904	SRR2565908	100937	Papio papio	ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/008/SRR2565908/SRR2565908.fastq.gz	GK_010
PRJNA295782	SAMN04096030	SRX1307906	SRR2565910	100937	Papio papio	ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/000/SRR2565910/SRR2565910.fastq.gz	GK_012
PRJNA295782	SAMN04096034	SRX1307910	SRR2565914	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/004/SRR2565914/SRR2565914_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/004/SRR2565914/SRR2565914_2.fastq.gz	HAP_gDNA
PRJNA295782	SAMN04099740	SRX1307915	SRR2565919	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/009/SRR2565919/SRR2565919.fastq.gz	AMB_057
PRJNA295782	SAMN04096031	SRX1308524	SRR2566816	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/006/SRR2566816/SRR2566816.fastq.gz	LIT_fDNA
